id,customer_id,created_at,amount
1,154-1441,1/5/2021,338.4
2,977-0503,5/18/2021,263.87
3,144-1512,2/24/2021,371.29
4,951-1957,1/8/2021,306.72
5,861-2180,3/1/2021,111.77
6,187-5818,5/14/2021,476.08
7,936-2044,2/12/2021,457.44
8,292-5081,4/3/2021,317.12
9,612-7881,2/12/2021,398.46
10,917-0772,2/27/2021,115.52
11,010-5531,3/30/2021,16.75
12,210-7763,4/4/2021,433.23
13,671-8296,1/9/2021,308.73
14,865-3008,4/11/2021,388.28
15,891-4315,3/6/2021,237.39
16,791-2931,4/24/2021,
17,461-1668,2/14/2021,107.74
18,279-3719,5/31/2021,20.0
19,388-2756,2/2/2021,97.64
20,892-8650,4/26/2021,241.63
21,461-4583,6/6/2021,
22,545-8734,4/8/2021,429.33
23,327-5510,4/5/2021,89.72
24,884-1067,5/1/2021,265.85
25,775-0358,4/10/2021,305.04
26,748-8872,2/16/2021,314.61
27,276-2814,6/5/2021,338.4
28,349-4239,3/26/2021,356.34
29,832-9563,3/31/2021,
30,537-4917,1/6/2021,410.02
31,747-9948,5/11/2021,307.1
32,699-3447,2/13/2021,284.35
33,616-2221,3/23/2021,431.5
34,928-9956,2/11/2021,135.63
35,953-4585,4/12/2021,378.09
36,742-8276,2/3/2021,47.07
37,716-9875,4/26/2021,103.26
38,905-7767,4/24/2021,
39,461-6266,3/16/2021,179.56
40,731-1291,1/3/2021,160.75
41,528-7959,5/15/2021,462.48
42,199-7337,1/20/2021,135.91
43,045-5821,6/13/2021,445.49
44,957-0340,4/9/2021,418.16
45,026-6294,6/23/2021,
46,553-0842,4/25/2021,17.17
47,501-5976,2/7/2021,458.59
48,221-3318,4/16/2021,238.64
49,851-5417,2/2/2021,377.98
50,883-1530,5/9/2021,
51,186-5935,3/30/2021,34.35
52,075-0506,3/30/2021,49.04
53,434-5575,4/19/2021,374.25
54,269-1488,3/4/2021,66.81
55,173-7097,1/8/2021,406.64
56,207-4238,2/12/2021,108.59
57,997-9345,5/23/2021,279.44
58,527-3836,4/22/2021,411.8
59,840-7872,6/28/2021,
60,705-4243,4/26/2021,268.68
61,218-5594,1/22/2021,298.15
62,545-0403,6/24/2021,318.76
63,832-6272,6/24/2021,391.9
64,477-5948,1/1/2021,308.39
65,312-1068,2/28/2021,149.89
66,738-5177,6/6/2021,194.97
67,484-8354,5/21/2021,15.4
68,005-1664,1/3/2021,26.16
69,330-9136,4/22/2021,320.69
70,996-9450,2/10/2021,497.31
71,804-7496,1/17/2021,481.64
72,929-4803,5/28/2021,345.95
73,430-5790,3/19/2021,279.34
74,136-0038,5/20/2021,140.81
75,346-2834,1/22/2021,395.33
76,639-0057,5/11/2021,203.4
77,679-1596,1/19/2021,106.06
78,740-3921,3/16/2021,452.87
79,802-5063,5/5/2021,461.35
80,461-5477,3/29/2021,107.96
81,751-6340,3/8/2021,267.87
82,689-2156,2/10/2021,258.14
83,506-9126,1/1/2021,137.73
84,118-2833,3/6/2021,468.63
85,590-0731,4/9/2021,75.29
86,572-1243,2/23/2021,157.0
87,832-5443,3/30/2021,369.02
88,703-5094,4/28/2021,284.76
89,293-9905,2/5/2021,345.4
90,579-6969,1/2/2021,27.9
91,834-8855,2/19/2021,339.7
92,785-4489,3/18/2021,436.75
93,835-5802,3/9/2021,250.27
94,660-7351,3/13/2021,389.31
95,954-0978,2/15/2021,
96,683-9066,2/20/2021,322.06
97,617-0728,5/19/2021,87.01
98,631-2720,1/31/2021,192.14
99,921-0267,1/26/2021,254.71
100,887-1456,1/18/2021,225.87
101,506-5830,4/14/2021,
102,871-5983,1/18/2021,
103,194-5375,2/19/2021,90.35
104,341-9620,2/27/2021,203.86
105,083-8151,5/6/2021,480.59
106,594-0570,1/24/2021,380.65
107,612-1874,5/17/2021,448.21
108,818-7824,5/30/2021,183.36
109,658-5248,5/28/2021,395.22
110,935-3486,4/3/2021,158.03
111,109-5711,2/14/2021,239.5
112,357-4772,6/2/2021,282.47
113,320-4989,1/4/2021,393.85
114,103-7150,2/26/2021,309.9
115,484-4976,5/9/2021,481.56
116,429-5816,2/1/2021,154.89
117,514-8812,4/7/2021,377.0
118,036-1636,2/2/2021,330.04
119,297-2319,6/2/2021,243.17
120,671-3705,2/5/2021,172.52
121,005-5852,5/28/2021,320.83
122,388-0444,2/5/2021,360.78
123,491-2223,6/26/2021,72.1
124,510-3211,2/27/2021,76.97
125,805-8620,2/21/2021,422.51
126,251-3098,3/30/2021,77.39
127,239-3455,4/4/2021,444.31
128,030-5724,4/1/2021,316.16
129,551-9338,1/21/2021,437.24
130,313-5346,6/7/2021,63.14
131,353-7934,3/15/2021,332.25
132,534-1569,4/14/2021,
133,440-4675,4/17/2021,434.49
134,690-4943,4/8/2021,374.49
135,953-6434,1/15/2021,116.4
136,356-6573,6/28/2021,306.08
137,438-9484,1/12/2021,60.35
138,030-2847,2/19/2021,301.07
139,577-0851,4/13/2021,14.79
140,100-8557,5/12/2021,359.8
141,473-7998,3/18/2021,302.07
142,767-9473,3/8/2021,219.59
143,010-4866,3/29/2021,119.35
144,094-4594,5/1/2021,224.9
145,706-6394,1/29/2021,249.08
146,503-6626,3/16/2021,279.41
147,435-1414,3/4/2021,294.71
148,456-3547,3/31/2021,217.34
149,043-6321,1/23/2021,200.98
150,317-5884,3/10/2021,254.35
151,424-6024,4/18/2021,123.57
152,331-2256,1/20/2021,345.91
153,195-0725,5/23/2021,166.06
154,977-4301,1/12/2021,103.43
155,292-4989,6/14/2021,374.41
156,526-9308,2/5/2021,484.55
157,995-2213,2/14/2021,498.61
158,260-7882,1/7/2021,198.25
159,423-2442,2/2/2021,113.39
160,459-4365,5/9/2021,324.36
161,531-6159,1/26/2021,410.86
162,879-7705,4/16/2021,220.4
163,124-3722,6/19/2021,344.6
164,517-8146,4/5/2021,379.05
165,325-8859,4/7/2021,
166,996-9621,5/4/2021,332.12
167,324-4767,4/10/2021,61.31
168,049-0941,2/6/2021,
169,800-6065,3/15/2021,464.29
170,252-7616,2/21/2021,213.9
171,878-3269,3/15/2021,479.59
172,226-3698,6/4/2021,236.09
173,986-7742,6/4/2021,74.34
174,668-7474,3/13/2021,352.13
175,295-4006,2/9/2021,71.12
176,038-5080,6/11/2021,
177,950-5792,1/13/2021,261.22
178,696-0773,3/28/2021,57.18
179,065-0189,5/6/2021,162.28
180,746-6868,6/7/2021,76.59
181,951-1041,4/21/2021,139.56
182,662-2988,3/16/2021,216.92
183,433-8997,5/12/2021,309.02
184,114-5967,2/3/2021,382.17
185,886-7865,4/3/2021,53.56
186,785-4265,4/28/2021,306.98
187,348-3128,6/28/2021,432.2
188,415-1551,5/28/2021,460.63
189,362-2086,2/19/2021,111.88
190,056-0669,6/25/2021,25.41
191,041-4978,6/4/2021,58.67
192,762-4755,1/22/2021,462.72
193,216-5482,6/9/2021,92.69
194,727-4065,4/13/2021,491.69
195,789-5255,4/26/2021,423.32
196,161-7299,5/14/2021,482.4
197,954-6927,3/14/2021,12.89
198,665-0581,3/26/2021,206.78
199,777-8447,6/25/2021,486.85
200,136-4100,1/20/2021,293.44
201,998-1130,2/19/2021,394.66
202,645-8460,4/30/2021,25.6
203,639-7435,1/22/2021,400.43
204,990-1295,3/22/2021,
205,803-1945,4/22/2021,217.6
206,576-2954,2/9/2021,
207,031-2698,2/10/2021,17.21
208,783-6416,5/26/2021,187.3
209,968-4033,4/8/2021,199.09
210,743-7486,2/13/2021,462.89
211,147-4737,4/13/2021,196.03
212,218-2944,6/17/2021,485.8
213,452-4093,4/15/2021,440.42
214,743-5764,1/16/2021,158.05
215,021-6949,3/27/2021,63.22
216,376-0455,3/21/2021,228.76
217,371-6156,4/7/2021,245.52
218,115-7038,3/22/2021,81.72
219,712-5631,6/8/2021,317.25
220,908-1842,5/15/2021,408.44
221,896-5943,5/23/2021,324.79
222,892-9339,4/14/2021,57.61
223,842-2319,6/29/2021,21.27
224,839-5587,4/28/2021,158.53
225,179-1354,2/21/2021,266.67
226,582-8501,2/5/2021,463.79
227,273-3540,3/26/2021,125.54
228,880-8594,5/17/2021,204.63
229,203-5324,2/23/2021,312.3
230,561-1890,1/1/2021,327.69
231,171-4508,3/30/2021,25.28
232,734-9086,3/5/2021,172.56
233,345-9989,5/3/2021,217.28
234,741-5883,3/19/2021,367.83
235,777-3980,4/14/2021,457.59
236,272-7268,2/14/2021,454.3
237,307-2515,1/8/2021,425.0
238,302-5795,3/1/2021,248.34
239,377-8133,3/28/2021,250.2
240,713-9655,5/9/2021,131.04
241,003-9368,3/27/2021,
242,637-4724,5/4/2021,412.28
